Barrio2	2010	2011	2012	2013	2014	2015	2016	Grand Total
12 DE OCTUBRE	3	7	3	9	4	4	1	31
7 DE AGOSTO	13	9	18	26	18	24	18	126
A.S.D.				2				2
ABRAHAM LINCON	1		5	6	10	17	13	52
ACACIAS					1	1		2
ACACIAS III PARTE BAJA					2	2		4
ACACIAS IV							1	1
ACACIAS NORTE	1		1	1	3	3	2	11
ACACIAS SUR	3	4	1	1	1	1		11
ACAPULCO			5	2	2	1	3	13
ACATAMA	1		1		1		2	5
ACEVEDO TEJADA	2	4	5	7	7	6	14	45
ACIP	1	1	1		1		1	5
AEROPUERTO EL DORADO	4	8	7	12	9	8	12	60
AEROPUERTO MUELLE INTERNACIONAL	1			1				2
AEROPUERTO PUENTE AEREO	1	1	2	5				9
AFIDRO					1		1	2
AGROPOLIS					1			1
AGUALINDA					2			2
AGUAS CALIENTES			2					2
AGUAS CLARAS	1	3	2		1		2	9
AINSUCA	1		3			1		5
ALAMEDA	16	18	32	49	45	18	28	206
ALAMEDA DE TIMIZA					5	4	1	10
ALAMEDA DEL SUR					1	2	1	4
ALAMEDAS DE MODELIA	1	1	1	3	13	3	1	23
ÁLAMOS I				1				1
ÁLAMOS NORTE	11	7	5	7			1	31
ALAMOS SUR	1	3		1	21	17	22	65
ALASKA	1		2		1			4
ALBANIA				1				1
ALCALA		1	4	2	5	5	3	20
ALCALÁ		3	3	3	11	8	5	33
ALCAPARROS I-II	1	1	1	1	2	2	1	9
ALCAZAR DE SUBA					1	2		3
ALCAZAR DEL RÍO						1		1
ALCAZARES	7	9	13	12	22	15	16	94
ALCAZARES DE SUBA			1		1			2
ALCAZARES NORTE	3	1		2	5	4	4	19
ALFEREZ REAL							2	2
ALFONSO LOPEZ	8	2	8	18	13	16	19	84
ALFONSO LÓPEZ SECTOR CHARALA		1	1			2	1	5
ALFONSO LÓPEZ SECTOR LA ALBORADA						1		1
ALHAMBRA SECTOR NORTE	5	7	7	21	12	11	12	75
ALMACEN CAFAM LA FLORESTA	1		1		1	4		7
ALMENA				1			1	2
ALMENDROS	2	6	8	7	4	3	3	33
ALMENDROS TINTALITO BOSA					4			4
ALMIRANTE COLON					1		2	3
ALMIRANTE PADILLA			2	3	4	2	2	13
ALMONACID			1				1	2
ALMORIA		1	2					3
ALOHA NORTE			1	1		2	2	6
ALOHA SUR				1		1		2
ALPES DEL ZUQUE						1		1
ALPES LOS				1	1			2
ALQUERÍA DE LA FRAGUA DEL ISS				1	4	1	5	11
ALQUERÍA LA FRAGUA				1	11	11	9	32
ALQUERÍAS DE LA FRAGUA	5	8	6	8				27
ALQUERÍAS DE LA FRAGUA VILLANUEVA					1			1
ALSACIA					4	6	2	12
ALTA BLANCA	2	6	1	3	4	1	1	18
ALTAMAR			1	2	4	4	1	12
ALTAMAR II SECTOR						1		1
ALTAMIRA	1		2	6	5	4	8	26
ALTAMIRA CHIQUITA						1		1
ALTILLOS DE SUBA		1			2		2	5
ALTO DE LA CRUZ			1		1	3	2	7
ALTO DE LA TOMA			1			1		2
ALTO DE LOS PINOS					1			1
ALTOS DE BELLAVISTA				1				1
ALTOS DE BETANIA III							1	1
ALTOS DE CHOZICA				1				1
ALTOS DE JALISCO		2	1		1		1	5
ALTOS DE LA ESPERANZA I SECTOR					1	1		2
ALTOS DE LA GLORIA						1		1
ALTOS DE SAN ISIDRO							1	1
ALTOS DEL COUNTRY (EL PITE)					1			1
ALTOS DEL POBLADO				2		1	3	6
ALTOS DEL REDIL		1		1		1	3	6
ALTOS DEL ROCIO		1		2	2			5
ALTOS DEL SOL			1	1				2
ÁLVARO BERNAL SEGURA	1	2			1	1	2	7
AMAPARO CAÑIZARES						1	2	3
AMARUC	1			1	1		1	4
AMBERES			2	1		2		5
ANDALUCÍA	2	3	9	4	6	5	7	36
ANDES	2	5	5	10	9	19	14	64
ANDREA	1		2	1				4
ANTIGUO COUNTRY	7	9	21	35	39	32	29	172
ANTONIA SANTOS	5		9	6	5	3	2	30
ANTONIO GRANADO SUBA				2	2	1	1	6
ANTONIO JOSE DE SUCRE	2	2	6	1	1	2	2	16
ANTONIO MORALES GALVIS							1	1
ANTONIO MORALES II SECTOR					1			1
ARABIA	4	1	1	3	9	2	2	22
ARAUQUITA	1							1
ARBOLEDA DE LOS ALPES					1	1		2
ARBOLEDA LA CAMPIÑA						3		3
ARBORIZADORA ALTA	7	6	6	10	10	14	9	62
ARBORIZADORA BAJA	4	4	3	5	8	6	7	37
ARGELIA	2	1	3		1	3	1	11
ARGENTINA	1	1	1				2	5
ARMENIA	1	2	10	8	12	22	21	76
ARMERO SUR						1		1
ARRAYANES							1	1
ARRAYANES SUBA					1		1	2
ASOCIACIÓN DISTRITAL DE EDUCADORES						1		1
ASOVIVIR	1		3		3			7
ASTURIAS		1				1		2
ATABANZA	1	1	1		2	1		6
ATAHUALPA	4	3	6	7	4	11	9	44
ATAHUALPA II SECTOR						1		1
ATENAS	2		1	5	1	3	5	17
ATICOS DEL SALITRE			1	5	3			9
ATLANTA	2			2				4
AURES II				1	24	22	16	63
AURES I-II	18	9	14	16	2		5	64
AUTOPISTA MEDELLIN					1		1	2
AVENIDA CUNDINAMARCA					2		1	3
AVENIDA DEL CENTENARIO					1			1
AYACUCHO							2	2
AZAFRANES					1			1
AZUCENA SECTOR EL TRIANGULO						1		1
BACHUE	7	14	15	19	13	20	16	104
BALCONES DE LA CALLEJA					1			1
BALCONES DE TIBANA					1			1
BALCONES DEL COUNTRY						2		2
BALCONES DEL TRIUNFO							1	1
BALMORAL I ETAPA			1			2	1	4
BANCO CENTRAL				3		2	2	7
BANDERAS	2	3	5	7	5	12	12	46
BAQUERO				1	3	1	2	7
BARANDILLAS DE SUBA							1	1
BARCELONA				1	1	3	3	8
BARRANCAS	11	5	10	8	8	12	14	68
BARRANCAS NORTE	3						1	4
BARRANQUILLITA	2	1	1			1	3	8
BARRIOS UNIDOS	1		4	7	12	7	12	43
BATALLON CALDAS				1	2	1		4
BATANIA		4	1	2				7
BATAVIA	1			1		1	1	4
BAVARIA	1	2	3	4	2	4	4	20
BAVARIA TECHO II SECTOR					2		2	4
BELALCAZAR	3	5	6	17	12	11	17	71
BELALCAZAR NORTE						1		1
BELEN	3		4	1	1	4	4	17
BELÉN	9	3	10	5	3	2	2	34
BELLA ESTANCIA					5	3	3	11
BELLA FLOR	1		1				1	3
BELLA NIDIA				1	2	2	2	7
BELLA SUIZA	5	5	9	10	5	12	8	54
BELLA VISTA		1	3	3	6			13
BELLA VISTA SUR	1	1	1		2	1	5	11
BELLAVISTA	4	7	14	16	15	19	27	102
BELLAVISTA ALTA	2		3	2		2	1	10
BELLAVISTA II SECTOR					1		2	3
BELLAVISTA OCCIDENTAL						2		2
BELLAVISTA SUR ORIENTAL					1			1
BELLO HORIZONTE	1	2	2	6	6	12	5	34
BELMONTE					2		1	3
BENJAMIN HERRERA	1	3	3	6	4	4		21
BERLÍN				1	3	7	1	12
BERLIN SUBA	2	4	5	4	4		2	21
BETANIA				1		3	2	6
BILBAO	10	1	5	10	6	8	8	48
BOCHALEMA	1	2	1	4	1	3		12
BOCHICA	9	11	16	15	10	15	10	86
BOCHICA COMPARTIR	1	3	3	3	2		1	13
BOCHICA I					1	2		3
BOCHICA III							1	1
BOGOTA SECTOR TEQUENDAMA		1			1			2
BOGOTA SUR - LA ESPERANZA						1	3	4
BOHIOS DE HUNZA		2		2			2	6
BOITA	1	7	8	3	4	7	10	40
BOLIVIA	3	4	11	16	9	6	6	55
BOMBAY				1	1	1	5	8
BONAIRE						1		1
BONANZA	7	9	7	9	13	10	12	67
BONANZA SUR					2		3	5
BOSA				1	16	27	33	77
BOSA CARBONEL II	7	3	7	13	7	4	7	48
BOSA CARBONELL I	3	3	3	2	1	4	2	18
BOSA CENTRO	17	8	19	20	9	14	10	97
BOSA LINDA	2	1	1	2		1	2	9
BOSA NOVA	6	1	4	1	3	2	2	19
BOSCANIA			1					1
BOSQUE CALDERÓN					6	8	4	18
BOSQUE CALDERON TEJADA			3	8			1	12
BOSQUE DE LOS LAGARTOS		1	1					2
BOSQUE DE LOS MOLINOS					9	8	2	19
BOSQUE DE LOS PINOS						1		1
BOSQUE DE PINOS II						1	2	3
BOSQUE DE SAN ANTONIO LOTE 8						1		1
BOSQUE DE SAN CARLOS	2	1	2	4	2	8	4	23
BOSQUE DE SUBA	1		4		1			6
BOSQUE EL LIMONAR	1					1	2	4
BOSQUE IZQUIERDO		4	1	6	1	3	1	16
BOSQUE POPULAR	5	5	10	12	19	7	20	78
BOSQUES DE CASTILLA					6	1		7
BOSQUES DE GRADANA			3	1	1		1	6
BOSQUES DE GRANADA II SECTOR					1		1	2
BOSQUES DE IBARI				1				1
BOSQUES DE MARIANA	2	5		3			1	11
BOSQUES DE MODELIA			3	3	2	2	1	11
BOSQUES DE SAN JORGE					2	1	1	4
BOSQUES DE SAN JOSÉ				1	12	9	5	27
BOSQUES DE SANTA TERESA					1			1
BOSQUES DE SUBA	3	3	2		1			9
BOSQUES DEL PORTAL						1	1	2
BOSTON	4	4	7	3			2	20
BOYACÁ	1	1	4	4	2	6	2	20
BOYACA REAL	3	6	5	8	8	4	10	44
BRASIL II SECTOR II ETAPA					2	3	3	8
BRASIL LÓPEZ Y PIÑEROS						1		1
BRASIL SECTOR BARRETO	9	5	6	4		1	1	26
BRASILIA				1		2		3
BRASILIA I SECTOR	4	6	8	14	12	5	6	55
BRASILIA II SECTOR				1		4		5
BRASILIA II SECTOR (VILLA BETTY)						1		1
BRASILIA III SECTOR					1			1
BRASILIA SUR		1	6	3	2	6	4	22
BRASILL II SECTOR						2	3	5
BRAVO PÁEZ	7	1	4	11	11	15	10	59
BRAZUELOS OCCIDENTAL			1			1		2
BRISAS DEL GALÁN						1	1	2
BRISAS DEL LLANO					1			1
BRISAS DEL POLO	1	1	1	1	3	3	5	15
BRISAS DEL VOLADOR			1			2	2	5
BRITALIA	3	2	3	4	7	3	10	32
BRITALIA ALTA					1	2	2	5
BRITALIA PORTALES DEL NORTE						1	1	2
BUENA VISTA	1	2	3		3	2	1	12
BUENA VISTA SECTOR A						1		1
BUENOS AIRES	2	1	2	5	4	3	4	21
C. COMERCIAL SALITRE PLAZA	1		2			1		4
C.A.D. IMPUESTOS	1							1
C.A.N.			1					1
CAJA DE VIVIENDA MILITAR					1			1
CALABRIA					1			1
CALANDAIMA				3		1	1	5
CALARCA			1	1		1		3
CALATRAVA	1	1	1			3	1	7
CALDAS	3	2		1	1	2	2	11
CALIFORNIA					1	3	3	7
CALIMA					2			2
CALIMA NORTE					1			1
CALLE REAL						1		1
CALLEJA DOS MIL					1	1	1	3
CALLEJÓN DE LA ESTANZUELA							1	1
CALLEJÓN DE SANTA BÁRBARA							1	1
CALLEJÓN DE SANTA BÁRBARA II SECTOR					1		1	2
CALVO MAC PHILIS							1	1
CALVO SUR	4		3	3	4	2	5	21
CAMARA DE COMERCIO					2			2
CAMELIA II SECTOR						1		1
CAMELIA NORTE							1	1
CAMELIA SUR					2	3		5
CAMENTERIO CHAPINERO						1	1	2
CAMILO TORRES						1		1
CAMINO DE LA ESTANCIA						1		1
CAMINO DE MODELIA						1		1
CAMINO DEL COUNTRY					1			1
CAMINO DEL PALMAR				1				1
CAMINO VERDE				1				1
CAMINO VIEJO DE SAN CRISTÓBAL					1	1	1	3
CAMPANELLA		1					1	2
CAMPANIA		1				1	1	3
CAMPIÑA					8	2	7	17
CAMPO ALEGRE				3	1			4
CAMPO DEPORTIVO USAQUÉN					1			1
CAMPO EUCARISTICO							5	5
CAMPO HERMOSO		1				4	2	7
CANADA	1		1	1		1	2	6
CANADÁ SECTOR LA GUIRA					1			1
CANAIMA	4	3		3	1	3	4	18
CANDELARIA III-IV	2	1	7	7	30	24	34	105
CANDELARIA LA NUEVA I SECTOR	11	12	19	33	3	13	9	100
CANTALEJO		1	4	2	3		8	18
CAÑAVERA					2	1		3
CAPELLANIA	1	2	12	10	3	7	10	45
CARACAS I-II-III	2	1		1		1		5
CARACOL				1	1	1	3	6
CARACOLÍ	4	1	3	1	2	3		14
CARCEL DISTRIAL				2		1	1	4
CARLOS LLERAS RESTREPO	3	2	4	4	4	6	1	24
CARMEN DEL SOL I SECTOR							1	1
CAROLINA				2				2
CAROLINA II SECTOR						1		1
CAROLINA ORIENTAL							1	1
CARTAGENA				1	1	2		4
CARVAJAL	22	24	32	46	33	42	44	243
CASA BLANCA					3	7	4	14
CASA BLANCA NORTE							1	1
CASA BLANCA SUBA  I	4		5	7				16
CASA BLANCA SUBA II				2	1			3
CASA DE TEJA	1			2	1		5	9
CASA GRANDE	3		1	2	2	3	2	13
CASA LOMA					2			2
CASABLANCA						1		1
CASABLANCA I	2	6			2	3	9	22
CASABLANCA II ETAPA	1							1
CASABLANCA III		1			1			2
CASALOMA II					1		1	2
CASANDRA			2		2			4
CASAVIANCA	1	1		1	1		1	5
CASTILLA LA NUEVA	19	26	27	43	15	11	18	159
CASTILLA REAL	1			2	18	20	25	66
CATALUÑA	3	1	7	6	12	7	10	46
CEDRITOS DEL SUR II						1		1
CEDRITOS SUR					2			2
CEDRO CLARO				2	3	1	1	7
CEDRO GOLF EL RODEO	6	5	6	8	1	6	2	34
CEDRO NORTE				1	3	4	3	11
CEDRO SALAZAR					2	6	3	11
CEMENTERIO (USME)				1				1
CEMENTERIO DEL SUR						1		1
CEMENTERIO EL APOGEO	1		1	1		1	3	7
CENTENARIO	4	2	10	6	7	1	6	36
CENTRO	47	36	13	11	30	22	24	183
CENTRO ADMINISTRATIVO	1	4	21	31	57	23	12	149
CENTRO ANTONIO NARIÑO		2	3	1	3	1	4	14
CENTRO CIAL PLAZA AMERICAS	8	8	1	5	6	4	2	34
CENTRO COM CENTROSUBA						1	1	2
CENTRO COM SUBA		1	2					3
CENTRO COMERCIAL ANDINO	1	3			1		1	6
CENTRO COMERCIAL BULEVAR	3		1	1		1		6
CENTRO COMERCIAL COLSEGUROS			2		3	3	5	13
CENTRO COMERCIAL METROPOLIS		1						1
CENTRO COMERCIAL TUNAL	1	1	1	1				4
CENTRO COMERCIAL UNICENTRO		1		1	1			3
CENTRO FONTIBÓN					19	18	10	47
CENTRO INTERNACIONAL	9	2	1	3	8	5	3	31
CENTRO NORTE USAQUÉN	3	10	26	22	13	4	7	85
CENTRO PUENTE EL PILAR						1		1
CENTRO USME	3	1	8	8	2	5	9	36
CENTROAMÉRICA				1				1
CEREZOS DE SUBA			1					1
CERRO MONSERRATE	5	6	2	2	3		2	20
CERROS DE NIZA					1	2	1	4
CERROS DE ORIENTE					1	1		2
CERROS DE SANTA BÁRBARA						2		2
CERROS DE SUBA		1					2	3
CERROS NORTE	5	1		1			5	12
CERVANTES					3	4	1	8
CHAPARRAL		1		1			1	3
CHAPINERITO	1		1	2	2	4	4	14
CHAPINERO ALTO	11	27	38	77	91	105	85	434
CHAPINERO CENTRAL	61	70	77	127	143	132	104	714
CHAPINERO NORTE	18	26	41	56	65	94	70	370
CHAPINERO SUR OCC.	8	5	12	15	18	5	6	69
CHAPINERO SUR OCCIDENTAL					10	2	4	16
CHARLES DE GAULLE	2		1			2		5
CHICALA	1	2	5	4	6	7	4	29
CHICO I	43	40	20	65	66	54	42	330
CHICO II	6	12	12	13	12	1	3	59
CHICO NAVARRA					26	15	14	55
CHICO NORTE I	12	11	20	33	26	19	19	140
CHICO NORTE II	4	7	10	10	13	3	4	51
CHICO NORTE II SECTOR				1	5	4	4	14
CHICO NORTE III SECTOR					2	1	1	4
CHICO RESERVADO	1	4	2		1			8
CHICO SUR	1	3	4	1	1	4	2	16
CHIPRE					1			1
CHUCUA EL BURRO				1	8		1	10
CHUNIZA	2	1	4	2	4	10	7	30
CINCO DE NOVIEMBRE URB.					1			1
CINTALAS III						1		1
CIUDAD BACHUE			1	1		6	1	9
CIUDAD BERNA	4	2	3	12	9	19	12	61
CIUDAD BERNA (FUCHA URB.)						1		1
CIUDAD BOGOTA					1			1
CIUDAD DE CALI	3	1	3	3	4	7	4	25
CIUDAD GALÁN	1		2	1		2		6
CIUDAD GRANADA	1	1		2		2		6
CIUDAD HUNZA	2	3	4	2		1	1	13
CIUDAD JARDIN	1	3	5	9	8	5	6	37
CIUDAD JARDIN SUR	2	3	12	20	26	21	22	106
CIUDAD KENNEDY CENTRAL	29	17	18	15	29	43	51	202
CIUDAD KENNEDY CENTRO CÍVICO D.L.F.	7	8	20	9	1			45
CIUDAD KENNEDY NORTE	4	1	4	4		1	3	17
CIUDAD KENNEDY OCC	2	1	3	3	1		2	12
CIUDAD KENNEDY SUR	1	1	2	2	3	5	3	17
CIUDAD SALITRE				3	28	37	30	98
CIUDAD SALITRE I	14	16	24	29	1	1	1	86
CIUDAD SALITRE II	7	9	19	32	36	19	24	146
CIUDAD SALITRE SPMZ 1 - 25					1			1
CIUDAD SALITRE SPMZ II - 3-6-9						1	1	2
CIUDAD SALITRE SPMZ III - 1 -2					1	2		3
CIUDAD SALITRE SPMZ III 14-15							1	1
CIUDAD SALITRE URBANISMO						1		1
CIUDAD SANTA ROSA		1			1	1		3
CIUDADEAL LA LIBERTAD II						1		1
CIUDADELA BOSQ SUBA	1		1					2
CIUDADELA CAFAM	4	2	2		1	1	1	11
CIUDADELA COLSUBSIDIO	6	9	15	20	16	15	11	92
CIUDADELA EL OASIS				1		1	1	3
CIUDADELA EL PORVENIR					7	1		8
CIUDADELA EL RECREO				1	1	1	1	4
CIUDADELA EL RECREO ETAPAS 1A-1B-2A					1	1		2
CIUDADELA INDUSTRIAL EL DORADO						1		1
CIUDADELA NVA TIBABUYES			1					1
CIUDADELA PARQUE DE LA ROCA						1		1
CLARET	11	9	6	22	22	17	12	99
CLARETIANO					1	1		2
CLASS	5	2	1	2	5		3	18
CLINICA DEL OCCIDENTE						1		1
CLUB DE LOS LAGARTOS		1	1		1			3
CLUB LOS ARRAYANES	1							1
COFRADIA	2	2	7	3	1	4		19
COLINA LINDA				1	25	16	19	61
COLMENA I							2	2
COLOMBIA	6	2	5	6	12	19	9	59
COLSEGUROS	1	1	1	2	3	3	1	12
COMFAMILIAR ASEGURADORA II					1		2	3
COMPARTIR	1	4	2	1	4	1	1	14
COMPENSAR II						1		1
COMPOSTELA II							2	2
COMPOSTELA III					1			1
COMUNEROS URB. LOS							1	1
CONDADOS DE CASTILLA	1	1	2	2	1	1	4	12
CONDOMINIO AEDES						1		1
CONJ. RES. RECODO DEL COUNTRY	1	1		1		1		4
CONJUNTO RESIDENCIAL AVENTURA PLAZA							1	1
CONJUNTO RESIDENCIAL EL BOSQUE					1			1
CONJUNTO RESIDENCIAL LA PRADERA					4	1	8	13
CONJUNTO RESIDENCIAL LA VALVANERA				1			2	3
CONJUNTO RESIDENCIAL LAS ORQUÍDEAS					1		1	2
CONJUNTO RESIDENCIAL LOS CRISTALES		2					1	3
CONJUNTO RESIDENCIAL MANUEL MEJIA		1		1				2
CONJUNTO RESIDENCIAL MIRAFLORES						1		1
CONJUNTO RESIDENCIAL VILLA MARÍA					1		1	2
CONJUNTO URBANO LA PRIMAVERA					1	1		2
CONTADOR	6	4	10	29	25	10	18	102
CORABASTOS	5	12	8	5	5	11	7	53
CORDOBA	1			3	5	4	2	15
COSTA RICA	3	3	4	4	3	2	6	25
COUNTRY PLAZA					2	5	5	12
COUNTRY SUR	2	1	4	12	19	14	19	71
CUNDINAMARCA	2	5	3	3	11	1	3	28
DANUBIO						1		1
DANUBIO AZUL	5		13	5	11	16	15	65
DANUBIO AZUL I Y II SECTOR							1	1
DANUBIO DEL SUR	1	1				1		3
DANUBIO II					1		1	2
DIAMANTE SUR					1			1
DIANA (ENVASES)					1	1		2
DIANA TURBAY	5	5	8	17	22	10	22	89
DINATEC						1		1
DINDALITO	10	3	2	2	4	14	14	49
DIVINO NIÑO				1		1		2
DIVINO SALVADOR	1	1	1			1		4
DOCE DE OCTUBRE					10	9	6	25
DOMINGO LAIN III					2		1	3
DUITAMA DESARROLLO		1	1	2				4
ECOPETROL							1	1
ECUALIPTOS DE LA COLINA							1	1
EDUARDO FREY	1	1	1		3	6	3	15
EDUARDO SANTOS	5	9	3	12	6	5	10	50
EGIPTO	4	4	7	18	12	10	6	61
EGIPTO ALTO					11	6	4	21
EL AGUINALDO					1			1
EL ALBUR					1			1
EL AMPARO	11	14	10	11	13	20	33	112
EL ANHELO	1		1		1			3
EL ARPA Y LA LIRA					1			1
EL ARRAYÁN							1	1
EL BOSQUE		2	3	1	1	1	1	9
EL BOSQUE CENTRAL						1		1
EL BOSQUE DE BOSA	2	2						4
EL BOSQUE SAN ANTONIO						2	1	3
EL BRILLANTE					1			1
EL CAMPIN	2	3	4	10	6	3	8	36
EL CAMPIN (COLISEO)				1	1		1	3
EL CAMPIN (ESTADIO)	1		1		1	2	1	6
EL CARMELO		3	1	1	2	3	4	14
EL CARMEN	1	2	4		2	6	5	20
EL CARMEN FONTIBÓN				1				1
EL CASTILLO				1	4	14	5	24
EL CEDRO				1	1		1	3
EL CENTENARIO	1	4	5	17	18	17	20	82
EL CEREZO		1		2			1	4
EL CEREZO Y SAN PEDRO						1		1
EL CERRO OCCIDENTAL IBIZA						1		1
EL CHILCAL				2		3	1	6
EL CODITO	4	3	10	9	15	7	9	57
EL CONDADO DE LA PAZ						1		1
EL CONSUELO			2	2	1	3	4	12
EL CORTIJO	6	4	6	9	8	10	11	54
EL CORZO				1	2	1		4
EL CURUBO		1		1		2		4
EL DANUBIO AZUL	1	2	1			1		5
EL DESCANSO	1					2		3
EL DIAMANTE	1	1				1		3
EL DIVINO NIÑO			3	1				4
EL DORADO	2	2	3	3	6	1	2	19
EL DORADO NORTE			1	2	3	1	1	8
EL EJIDO	1	2	4	5	8	6	9	35
EL ENCANTO	1	2	2	3	2	1	2	13
EL ENCENILLAL	3	3	5	2				13
EL ENSUEÑO						2	2	4
EL ESPARTILLAL	2	3	3	6	6	10	9	39
EL ESQUINERO						1		1
EL GRANADILLO					1			1
EL GRECO	2	1	2	5	3	2	2	17
EL GUAVIO					2	3	2	7
EL GUAYACÁN					1			1
EL JAPÓN	1						1	2
EL JARDÍN	1	2	2	3			1	9
EL JAZMÍN I SECTOR	4	4	2	3	4	6	3	26
EL JAZMÍN II SECTOR							3	3
EL JAZMÍN RURAL					3		1	4
EL JORDAN		1	2		1	1		5
EL LAGO DEL PARAÍSO							1	1
EL LAUREL	1		2	1	3	2	3	12
EL LIBERTADOR					2	10	2	14
EL LISTON		3	2	6	2	4	8	25
EL LLANITO					1		1	2
