Barrio2	2010	2011	2012	2013	2014	2015	2016	Grand Total
EL LLANITO URBANIZACIÓN			1					1
EL LUJAN	3		1	2	1	4		11
EL MATORRAL SAN BERNARDINO					1			1
EL MIRADOR	4		2	7	1			14
EL MIRADOR SUR I Y II			1		1			2
EL MOCHUELO ORIENTAL				1			1	2
EL MORISCO		2						2
EL MORTIÑO					1		2	3
EL MOTORISTA	2			3		1	1	7
EL MUELLE	5	3	7	5	3	7	4	34
EL MUELLE II						1		1
EL NEVADO			1		1			2
EL NOGAL	7	2	5	19	7	10	4	54
EL OASIS DEL SUR						1		1
EL OLIVO	1	2	1	1		2	1	8
EL PALMAR	2	1	3	3	5	1		15
EL PALMAR DOS			2					2
EL PALMAR UNO	1		1	2				4
EL PANTANITO				1		1	2	4
EL PAÑUELITO	1							1
EL PARAISO	2	1	3	2	3	2	1	14
EL PARAÍSO	7	9	7	2	2	4	5	36
EL PAREJO	3	2		1	1		1	8
EL PASEO		1	1	1	1	1	1	6
EL PATIO III SECTOR					4	4	4	12
EL PEDREGAL		1	3	3		1	1	9
EL PENCIL			1					1
EL PENSIL					3	3	1	7
EL PESEBRE			2	5	6	3	1	17
EL PINAR	10	6	17	25	13	16	18	105
EL PINAR DE LOS ÁLAMOS					1			1
EL PINO				1	7	4	19	31
EL PITE				1				1
EL PLAN							3	3
EL PLAYÓN - LA PLAYITA				5	1	2		8
EL POA	5	5	4	8	6	18	23	69
EL PORTAL	2	3	4	2	2	5	5	23
EL PORTAL DE J.J. VARGAS						5	1	6
EL PORTAL DE LA FRAGUA					1			1
EL PORTAL DE LAS MERCEDES	1			1	1		3	6
EL PORTAL DE PATIO BONITO					2	5	3	10
EL PORTAL DEL CENTENARIO							1	1
EL PORTAL II					1			1
EL PORTAL II SECTOR					3	2	1	6
EL PORTAL SUR ESTE			1	1				2
EL PORVENIR	7	15	21	21	14	25	32	135
EL PORVENIR II SECTOR							2	2
EL PORVENIR ZONA C			2	2				4
EL PROGRESO	2	1	2	4	1	2	2	14
EL PROGRESO II						1		1
EL PROVEEDOR			1					1
EL RAMAJAL					1	3	2	6
EL REAL					2	3		5
EL RECODO		2		4	5	3	5	19
EL RECREO	14	7	7	19	7	6	10	70
EL RECUERDO	3	2	7	6	10	12	16	56
EL RECUERDO SAN BERNARDINO					1		1	2
EL RECUERDO SAN JORGE ALTO					3			3
EL REFUGIO	1	4	3	8	4	6	4	30
EL REFUGIO DE LA COLINA II SECTOR	2	2						4
EL REFUGIO DE SAN ANTONIO							1	1
EL REFUGIO I	3	1		4	1	2	2	13
EL RESTREPO				1	35	23	23	82
EL RETIRO				4	35	29	38	106
EL RETIRO I	7	6	23	34		1	1	72
EL RETIRO II	2	1		1				4
EL RINCÓN				1	20	14	32	67
EL RINCÓN DE IBERIA					1			1
EL RINCÓN DE LA CAMAPIÑA							2	2
EL RINCÓN DE SUBA					2	1	1	4
EL RINCÓN DEL JURA					1			1
EL ROCIO	4	1		1	2	3		11
EL RODEO	1					1		2
EL ROSAL - MIRADOR						1		1
EL ROSARIO	1	2	4	2	7	3	3	22
EL RUBI	1	1	3			1	1	7
EL RUBÍ						1	1	2
EL RUBÍ I SECTOR				3	1	1		5
EL RUBÍ II SECTOR	1	1						2
EL SALITRAL II		1	1	1			1	4
EL SALITRE	7	4	5	8	9	6	9	48
EL SALITRE SUBA	6	3	4	4	4		1	22
EL SAUCEDAL						1		1
EL SOCORRO	1			2	2	2		7
EL TABOR							1	1
EL TANQUE	1		1		1			3
EL TAPETE	1	1	1	1	1	3	2	10
EL TESORITO					1	3	1	5
EL TESORO	1	1	5	6	1	5		19
EL TIEMPO	1							1
EL TINTAL				1	33	36	30	100
EL TINTAL A.S.D.			1	3				4
EL TINTAL CENTRAL						2	1	3
EL TRIANGULO					1			1
EL TRIUNFO	5	2	1	4	2	1	5	20
EL TROPEZON	2	2	1		2		2	9
EL TUNAL II				2	55	81	73	211
EL TUNO			1					1
EL UVAL				2				2
EL VERBENAL III SECTOR					2	3		5
EL VERGEL	2	2		5	7	4	7	27
EL VERGEL FONTIBÓN					1			1
EL VIRREY ULTIMA ETAPA					7	3	8	18
EMAUS			1	1	8	4	4	18
ENGATIVA	4	9	34	30	28	12	5	122
ENGATIVÁ ZONA URBANA					1		1	2
ENTRERIOS	2	3	3	4	4	2	4	22
ESCOCIA	5	1		2		2	2	12
ESCUELA DE CARABINEROS							1	1
ESCUELA MILITAR				1	2	3	5	11
ESPAÑOLA TERCERA ETAPA					3			3
ESPARTA						1		1
ESPINOS I	4	1	2	1	2	4	1	15
ESTACIÓN (EL TEJAR)					3			3
ESTACIÓN CENTRAL		1	4	4	3	4	4	20
ESTADOS UNIDOS	2	4	3	5	5	8	15	42
ESTRADITA ORIENTAL					2	1		3
ESTRELLA		1	2	4	2	3	2	14
ESTRELLA DEL NORTE						1	1	2
FÁTIMA	8	9	9	19	7	16	9	77
FE Y ALEGRÍA						1		1
FERIA INTERNACIONAL					1			1
FERIAS	16	22	21	38	33	21	17	168
FERROCAJA	1			2	5	5	7	20
FINCA LINTERAMA							1	1
FINCA NUEVA ZELANDIA					1	2	1	4
FINCA VENECIA						1		1
FIORITA							1	1
FISCALA ALTA			1		1	3		5
FLANDES	1	1	3	5	8	4	3	25
FLORALIA			6	4	1	4	2	17
FLORENCIA	1	4	3	7	4	4	6	29
FLORESTA DE SUBA (LA MESA)					1	1	1	3
FLORESTA SUR		2	2	2	3	1	3	13
FLORIDA BLANCA			3	4	12	7	6	32
FLORIDA SUR ALTO						3	1	4
FLORIDABLANCA NORTE			1	1				2
FONTANA						1		1
FONTANA DE CAPRI	2	1	1					4
FONTANAR DEL RÍO				1	2	3	4	10
FONTANAR DEL RÍO B					8	7	9	24
FONTIBON CENTRO	16	16	39	39	19	26	24	179
FONTIBÓN UNIDAD RESIDENCIAL						1	3	4
FRANCIA				1		1	1	3
FRANCISCO JOSE DE CALDASS	7	3	10	20	11	11	21	83
FRANCO		1	2	1	1	1	2	8
GAITAN	5	4	6	10	7	8	12	52
GALAN	17	8	10	19	32	20	33	139
GALERIAS	25	11	19	49	65	64	42	275
GARCES NAVAS	3	11	4	8	12	10	5	53
GERMANIA	17	1	5		5	7	7	42
GETSEMANI							1	1
GIBRALTAR	1		1	2		2	1	7
GILMAR	4	2	1	4	4	4	4	23
GINEBRA	2				1	1		4
GIRALDILLA II					2	2	1	5
GIRARDOT	8		4	2	6	1	4	25
GLORIA LARA DE ECHEVERRY II ETAPA	1	2	2	1	7	1	2	16
GOBAROA				3				3
GONZALO JIMENEZ			1	3	2	1	3	10
GORGONZOLA	4	4	6	15	13	14	8	64
GOVAROBA II							1	1
GRAN AMERICA	2	4	3	7	13	11	12	52
GRAN BRITALIA	17	14	15	39	35	24	50	194
GRAN COLOMBIANO	1	6	5	4	3	4	13	36
GRAN GRADANA I Y II							1	1
GRAN GRANADA	2	2	1		1		1	7
GRAN YOMASA				1	10	15	11	37
GRAN YOMASA II SECTOR					1			1
GRANADA					13	8	10	31
GRANADA NORTE	8	3	4	4	5	7	8	39
GRANADA SUR			2	5	3	11	6	27
GRANADA SUR III SECTOR							1	1
GRANCOLOMBIANO I SECTOR				1				1
GRANJAS DE TECHO		1		2	3	8	2	16
GRANJAS EL DORADO					3		1	4
GRATAMIRA	3	1	2	5	6	5	2	24
GUACAMAYAS III	3		1	3		1		8
GUACAMAYAS I-II	5	5	7	21	17	10	13	78
GUADALUPE			1		1	1		3
GUADUAL					2	5	1	8
GUADUAL FONTIBÓN							1	1
GUALI	1							1
GUATIQUIA URBANIZACIÓN					1	1	1	3
GUAVIO	6		3	6	1		1	17
GUICANI URBANIZACIÓN	1		1			1		3
GUILLERMO NÚÑEZ					1			1
GUIPARMA					1			1
GUSTAVO RESTREPO	8	4	17	38	28	34	32	161
HACIENDA CÓRDOBA NIZA VIII	1				1			2
HACIENDA EL CEDRO	1							1
HACIENDA LAS MERCEDES						3		3
HACIENDA LOS MOLINOS						1		1
HACIENDA SANTA BÁRBARA							1	1
HACIENDA SANTA BARBARA I SECTOR					6	10	3	19
HACIENDA TECHO LOTE 6					1			1
HB	1			2				3
HIPOTECHO OCCIDENTAL			1	4	13	15	27	60
HOLANDA	2	2	2	5	4	1	2	18
HORIZONTES							1	1
HOSPITAL DE BOSA				1				1
HOSPITAL DE FONTIBON	1							1
HOSPITAL DE KENNEDY				2				2
HOSPITAL LA GRANJA					1	1		2
IBERIA		1	2	3	6	5	5	22
ILARCO	4	1	2	1	1	2	1	12
INDUSTRIAL CENTENARIO II SECTOR					1			1
INDUSTRIAL CENTENARIO III SECTOR					1			1
INÉS ELVIRA				1				1
INESUR (URB. LOS MOLINOS)					1			1
INGLES	1	1	8	13	9	17	5	54
INTERINDUSTRIAL							2	2
INTERNACIONAL				1	2			3
ISABELA I					1		1	2
ISLA DEL SOL	6	2	2	2	2	4	7	25
ISLANDIA	2	1	1	3		1	2	10
ISRAELITAS		1					1	2
JABOQUE				3	2	3	2	10
JACQUELINE	2	1	2		3	7	1	16
JAIME BERMEO					1			1
JAKELIN				1			3	4
JARDÍN	1			1				2
JARDÍN DE SAN JORGE					2		1	3
JARDÍN SAN JORGE					1	2		3
JAVA I SECTOR	1	1	6	1		3		12
JAVA II SECTOR	1				1		1	3
JAZMÍN OCCIDENTAL							1	1
JERICO	1			2			1	4
JERUSALÉN	2	5	1	1	4	1	6	20
JIMÉNEZ DE QUEZADA	3	1	2	2				8
JORDAN				1			1	2
JORGE CAVALIER			1					1
JORGE GAITAN CORTES		1			3		2	6
JORGE URIBE BOTERO			1	1				2
JOSE ANTONIO GALAN	7	6	5	6	6	7	3	40
JOSÉ DOMINGO LAIN	1	1	1	1				4
JOSE JOAQUIN VARGAS	6	11	6	18	13	8	8	70
JOSÉ JOAQUÍN VARGAS					1		2	3
JOSÉ MARÍA CARBONEL I Y II ETAPA						1		1
JUAN AMARILLO			1					1
JUAN JOSE RONDON				1	1			2
JUAN JOSÉ RONDON	2	3	5	3	3	2		18
JUAN PABLO II	2	6	4	5	4	8	9	38
JUAN REY	2	5	8	4	4	2	6	31
JUAN XXIII		2	1	1	3	4	3	14
JULIO FLOREZ	4	3	1	10	7	5	1	31
JUNCA Y MONTECITOS					1			1
KASANDRA				2	1		2	5
LA ACACIA						2	3	5
LA AGUADITA		1	1	1	1		2	6
LA AGUADITA II					1			1
LA ALAMEDA		3	1	3	22	25	19	73
LA ALAMEDA DEL SUR						1	1	2
LA ALDEA				2		2	5	9
LA ALMERÍA							1	1
LA AMISTAD	5	4	6	4	3	4	3	29
LA AMISTAD BOSA					7	1	3	11
LA ANDREA					4	1	2	7
LA AURORA					2	5	5	12
LA AURORA I SECTOR	4	6	16	13	10	10	9	68
LA AURORA II SECTOR					2	2	3	7
LA AZUCENA A	3	6	1	2	3	2	4	21
LA BELLEZA				2	1	2	2	7
LA CABAÑA	2	1	3	3	7	13	8	37
LA CABAÑA Y LA SUERTE	2	1	1		3	2	1	10
LA CABRERA	2	10	13	20	26	9	16	96
LA CALLEJA	4	8	8	16	12	16	10	74
LA CAMELIA	1	1	3	3		1		9
LA CAMPINA		1						1
LA CAMPIÑA				1	2	1	1	5
LA CANDELARIA	50	30	18	29	35	23	17	202
LA CAÑIZA SECTOR I	2	1		2				5
LA CAÑIZA SECTOR III					1			1
LA CAPELLANIA					1			1
LA CAPILLA				1	1			2
LA CAPUCHINA	11	10	18	47	41	31	20	178
LA CARBONERA				1				1
LA CAROLINA	1	2	2	2	8	13	1	29
LA CASTAÑA	1	1		1	1		2	6
LA CASTELLANA	9	5	12	22	32	31	23	134
LA CATALINA						1		1
LA CATEDRAL	6	14	24	65	40	37	22	208
LA CHUCUA NORTE		2		5	6	2	3	18
LA CITA	1	4	1	2	2		1	11
LA CLARITA	4	5	7	3	5	2	8	34
LA COLMENA		1	2	2	2	2	2	11
LA COLONIA ORIENTAL					4	2	1	7
LA CONCEPCION	2	3	8	4	6	6	4	33
LA CONCORDIA	4	5	6	15	12	12	5	59
LA CONCORDIA I			2		1	1		4
LA CONEJERA II ETAPA				2		1	1	4
LA CONSOLACIÓN					3	1	3	7
LA CUMBRE				1		1		2
LA DESPENSA					3	1	2	6
LA ESMERALDA	14	11	14	26	21	24	24	134
LA ESMERALDA SUR	2							2
LA ESPAÑOLA	1	1	3	7	6	7	6	31
LA ESPERANZA	5	10	10	10	21	32	18	106
LA ESPERANZA DE TIBANICA					1		2	3
LA ESPERANZA I	1	3	2	5	2	2	1	16
LA ESPERANZA II		1	2			1	1	5
LA ESTACIÓN	20	15	17	16	16	14	9	107
LA ESTACION IMPERIAL							2	2
LA ESTANCIA	9	11	17	7	11	7	4	66
LA ESTANCIA BAJA			1		1		1	3
LA ESTANZUELA	2	2	7	11	9	16	8	55
LA ESTANZUELA CENTRAL					2	1		3
LA ESTRADA	9	3	6	7	5	10	4	44
LA ESTRADITA	2	1	1		3	1	5	13
LA ESTRELLA					1	5	3	9
LA ESTRELLA DEL SUR		3		1	1	6	4	15
LA ESTRELLA NORTE				1			2	3
LA ESTRELLA SECTOR LAGOS	3	1	4	1				9
LA ESTRELLITA					1			1
LA EUROPA	1	2		1		1	2	7
LA FAENA	1			1	1		3	6
LA FAVORITA	3	8	15	29	33	52	36	176
LA FELICIDAD		1	3	3	10	4	4	25
LA FISCALA	1	1	3	2	3	4	2	16
LA FLORA ALTA	1		2		1	1		5
LA FLORESTA					4	1	1	6
LA FLORESTA NORTE		2		1				3
LA FLORIDA	1	10	12	13	6	11	5	58
LA FLORIDA IV SECTOR	1				2		1	4
LA FORTALEZA				1	1			2
LA FRAGUA	6	1	1	8	8	12	6	42
LA FRAGUITA ZONA INVADIDA	2		4	4	5	3	1	19
LA FRANCIA	2	2		1	1		1	7
LA GAITANA	22	5	8	22	24	20	39	140
LA GIRALDA	1		6	2	5	3	5	22
LA GIRALDILLA		1	1			2		4
LA GLORIA	1		6	10	1	3	5	26
LA GLORIA BAJA					2	1	3	6
LA GRANJA	2	4	6	10	9	14	13	58
LA GRANJA EL CARMEN						2		2
LA GRANJA NORTE					1	2		3
LA HERRADURA				2	2	7	3	14
LA HORTUA				2	1	2	2	7
LA IGUALDAD	5	7	5	5	8	4	9	43
LA ILUSION		1						1
LA INDEPENDENCIA		1				1	2	4
LA ISABELA I	1	2	1	3	4	1		12
LA ISABELA II			1				1	2
LA JOYITA					1			1
LA LAGUNA	2	2	1	2	8	2	5	22
LA LAGUNA DE FONTIBÓN					2	3	1	6
LA LIBERIA	1			1		3	5	10
LA LIBERTAD				2	6	11	9	28
LA LIBERTAD I	12	1	3	6		2	2	26
LA LIBERTAD II		2	2	3			1	8
LA LLANURA				1				1
LA MACARENA	5	10	4	10	10	8	7	54
LA MAGDALENA		2	6	7	18	13	10	56
LA MARIA	1		1	2	3	6	4	17
LA MARÍA SUR							1	1
LA MARICHUELA	2	2	3	6	2	7	12	34
LA MARQUEZA					2	1	1	4
LA MERCED		1	6	9	6	5	1	28
LA MERCED NORTE		2	1	1	1	1	4	10
LA ORQUÍDEA III SECTOR						1		1
LA PALESTINA				1	6	2	2	11
LA PALMA	1						1	2
LA PAMPA II					1	1		2
LA PATRIA					4	3	6	13
LA PAZ	34	20	13	22	11	21	5	126
LA PAZ BOSA						3	2	5
LA PENINSULA				1		6	2	9
LA PEÑA		1		2	2		1	6
LA PEPITA	2	6	1	3	3	7	1	23
LA PERLA		1	2		1		1	5
LA PERLA ORIENTAL				1				1
LA PERSEVERANCIA	21	13	10	12	12	16	6	90
LA PICOTA				1	2		2	5
LA PLAYA	2			2	2	1	3	10
LA PLAYA - LA VICTORIA						1		1
LA PLAYA II							1	1
LA PONDEROSA	2	2	1	1	3	1	1	11
LA PORCIUNCULA	8	9	14	40	29	10	21	131
LA PORTADA						1	1	2
LA PRADERA NORTE	4		3	4	6	7	8	32
LA PRIMAVERA				1	1	2	6	10
LA PRIMAVERA NORTE	9	8	2	4	1	2	4	30
LA PRIMAVERA NORTE I SECTOR							2	2
LA PRIMAVERA NORTE II SECTOR							1	1
LA RECONQUISTA			1					1
LA REGADERA SUR					1			1
LA RELIQUIA	1							1
LA RESOLANA						1		1
LA RESURRECCIÓN II			5	5	3	5	5	23
LA RIVERA	2	3	4	3	3	2	2	19
LA RIVERA II SECTOR					1			1
LA RIVIERA		1			2	3	4	10
LA ROCA	3	1		1			3	8
LA ROSITA	1		1	1	4		2	9
LA SABANA	6	5	7	6	11	8	13	56
LA SALINA							1	1
LA SALLE	1		7	8	7	10	4	37
LA SERENA	2	6	3	10	7	4	4	36
LA SOLEDAD	15	9	23	37	38	42	32	196
LA SOLEDAD, SAN JOSÉ NORTE						1	1	2
LA SULTANA	2	1			2			5
LA TORTIGUA					1			1
LA TOSCANA	7	2	1	3	4	5	9	31
LA TRINIDAD		1		3	1		2	7
LA URIBE	3	9	7	17	19	20	18	93
LA VEGUITA BOSA		1						1
LA VERACRUZ	7	22	21	64	41	18	7	180
LA VICTORIA	6	6	10	15	19	10	29	95
LA VICTORIA NORTE	6	2	2	8		2	1	21
LA Y SUR ESTE	1		1	1	1			4
LAGO DE CHAPINERO	5	15	15	16	9	13	4	77
LAGO GAITAN	4	3	8	20	23	36	25	119
LAGOS DE SUBA	2	1	3	4	4	6	8	28
LAS ACACIAS	5	3	5	4	2	7	3	29
LAS AGUAS	23	12	22	55	56	50	46	264
LAS AMERICAS	10	8	15	16	25	23	23	120
LAS BRISAS	3	2	5	4	1	5	4	24
LAS CANTERAS	1		1	2	2	3		9
LAS COLINAS	6	2	6	8	12	18	22	74
LAS COLUMNAS	2		1			2	1	6
LAS CRUCES	31	25	21	30	30	24	33	194
LAS DELICIAS	6	7	9	8	5	12	15	62
LAS DOS AVENIDAS	1			1	3	3	6	14
LAS FERIAS				3	13	12	7	35
LAS FERIAS OCCIDENTAL	2	5	9	2	1			19
LAS FLORES	5	1	9	10	6	8	8	47
LAS FLORES I							1	1
LAS GALIAS					1			1
LAS GAVIOTAS URB.					3	1	1	5
LAS GRANJAS	4	4	4	3		1	1	17
LAS HUERTAS				1				1
LAS MALVINAS		1						1
LAS MANITAS				1			1	2
LAS MARGARITAS	7	8	12	25	26	42	40	160
LAS MARGARITAS I Y II					1			1
LAS MARGARITAS III					1			1
LAS MERCEDES	3	3	5	4	1		6	22
LAS NIEVES	23	27	46	72	58	52	63	341
LAS ORQUÍDEAS	5	2	6	2	3	6	10	34
LAS PALMERAS	1					1		2
LAS PALMITAS						1		1
LAS TERRAZAS					1			1
LAS TORRES	1		3	3	2	3		12
LAS VEGAS			1	2	1	1		5
LAS VEGAS DE POTOSÍ			1					1
LAS VILLAS DE MARIANA					2			2
LAS VILLAS I SECTOR	7	7	3	7	5	4	10	43
LAS VILLAS II SECTOR							1	1
LAS VIOLETAS							1	1
LAS VIVIENDAS						1		1
LAUELES II						1		1
LAURELES LA ESTACIÓN					3	5	2	10
LIBERTADOR SUR	4	1	2	6	3	3	4	23
LIBERTADORES	1	1	1	1		3	4	11
LIJACA	5	1	1	1	3	4	8	23
LINTERAMA	1	1		1	1			4
LISBOA	14	7	11	14	9	14	21	90
LITUANIA							1	1
LLANO GRANDE	1	2	1	7	11	12	18	52
LLANO ORIENTAL	1							1
LLANOS DE BOSA	2	2				1		5
LOA ANDES					1			1
LOMBARDIA II	6	4	5	7	17	8	10	57
LOMBARDIA III					2		1	3
LONDRES		2	3	1				6
LORENZO ALCANTUZ I SECTOR	1			1		2		4
LORENZO ALCANTUZ II SECTOR						1		1
LOS ÁLAMOS	8	12	16	25	1	4		66
LOS ALCAPARROS DE SUBA							1	1
LOS ALMENDROS			2		1	3	2	8
LOS ALMENDROS II SECTOR					1			1
LOS ALPES		2	2		1	3	1	9
LOS ANDES	3	7	3	8	7	13	4	45
LOS ANDES SECTOR V NUTIBARA					1	1		2
LOS ANGELES		3	6	3	2	1	2	17
LOS ARRAYANES II					1			1
LOS AZAFRANES				1				1
LOS BUGANVILES					1			1
LOS CAMBULOS			1		1			2
LOS CAMPOS				1				1
LOS CEDRITOS	27	25	35	56	74	56	62	335
LOS CENTAUROS				1				1
LOS CERECITOS					2			2
LOS CEREZOS	2	2	4	3	2	3	6	22
LOS CERROS	1							1
LOS CHIRCALES					1			1
LOS COMUNEROS		1	1			2	2	6
LOS FAROLES		1						1
LOS GRUPOS					1	1	1	3
LOS HAYUELOS	15	17	22	39	24	26	35	178
LOS LACHES	4	5	1	5	6	1	3	25
LOS LAURELES	23	6	13	15	8	4	7	76
LOS LAURELES SABANAS DEL DORADO					2			2
LOS LAURELES SECTOR II					1			1
LOS LIBERTADORES					1		2	3
LOS LIBERTADORES SAN JOSÉ						1	1	2
LOS LIBERTADORES SECTOR SAN ISIDRO						1		1
LOS MOLINOS DEL SUR	1		1		5	5	11	23
LOS MOLINOS DEL VIENTO					2		1	3
LOS MOLINOS I SECTOR	5	4	15	23	2	1	5	55
LOS MOLINOS II SECTOR	3	2	2	7	1			15
LOS MONJES	2	2	6	5	5	4	3	27
LOS NARANJOS	5	10	4	18	6	4	8	55
LOS NARANJOS ALTOS					1	1		2
LOS NARANJOS EL RETAZO	1			3				4
LOS OLIVARES			2					2
LOS OLIVOS						3	1	4
LOS PERIODISTAS	1	2		1	3	5	4	16
LOS PIJAOS	1	1	2	4	2	4	9	23
LOS PINARES						1	1	2
LOS PINOS		1		2	1		1	5
LOS PINOS DE SUBA							1	1
LOS PUENTES				1				1
LOS ROSALES	3	4	6	19	9	3	4	48
LOS SAUCES		1	3	3		3	2	12
LOS TEJARES DE SUBA						1		1
LOS TRES REYES - I ETAPA	2	2			1	1	1	7
LOS TRES REYES II SECTOR					1			1
LOS URAPANES					1	1		2
LOS VIRREYES II		1			3	2	1	7
LOTE EN MORATO						1		1
LOURDES	9	12	19	26	31	20	12	129
LT SAN MIGUEL						1		1
LUCERO ALTO	5	4	8	6	12	9	6	50
LUCERO BAJO					4	9	8	21
LUCERO BAJO SECTOR LA CONQUISTA						3		3
LUCERO MEDIO	7	1	3		2	1	2	16
LUCERO SUR BAJO	2	5	6	5		2	1	21
LUIS CARLOS GALAN	1		2		1	1	3	8
LUIS CARLOS GALÁN							1	1
LUIS LÓPEZ DE MEZA	1		2			2	3	8
LUJAN					1			1
LUNA PARK I SECTOR						1	3	4
LUNA PARK II SECTOR					1			1
LUSITANIA	1		3	3		5	1	13
LUZ MARIA FERNANDEZ				1				1
MACARENA		3	5	16	12	13	2	51
MACARENA LA Y YULI FERNANDA					1			1
MACONDO Y CARMEN							1	1
MADERAS DE LA SABANA					1		1	2
MAKRO							1	1
